onset	duration	sample	value	trial_type
0.421875	n/a	216	4	condition 4
7.892578125	n/a	4041	2	condition 2
8.095703125	n/a	4145	22	condition 22
15.94335938	n/a	8163	2	condition 2
16.14648438	n/a	8267	22	condition 22
23.79492188	n/a	12183	2	condition 2
23.99609375	n/a	12286	22	condition 22
33.26757812	n/a	17033	2	condition 2
33.47070312	n/a	17137	22	condition 22
43.1171875	n/a	22076	2	condition 2
43.3203125	n/a	22180	22	condition 22
50.3203125	n/a	25764	2	condition 2
50.5234375	n/a	25868	22	condition 22
58.35546875	n/a	29878	2	condition 2
58.55859375	n/a	29982	22	condition 22
66.20703125	n/a	33898	2	condition 2
66.40625	n/a	34000	22	condition 22
73.41015625	n/a	37586	2	condition 2
73.61132812	n/a	37689	22	condition 22
82.8671875	n/a	42428	2	condition 2
83.0703125	n/a	42532	22	condition 22
90.91796875	n/a	46550	2	condition 2
91.12304688	n/a	46655	22	condition 22
98.765625	n/a	50568	2	condition 2
99.01953125	n/a	50698	22	condition 22
108.6171875	n/a	55612	2	condition 2
108.8183594	n/a	55715	22	condition 22
118.4628906	n/a	60653	2	condition 2
118.6660156	n/a	60757	22	condition 22
126.3125	n/a	64672	2	condition 2
126.515625	n/a	64776	22	condition 22
133.5019531	n/a	68353	2	condition 2
133.703125	n/a	68456	22	condition 22
141.5507812	n/a	72474	2	condition 2
141.7558594	n/a	72579	22	condition 22
151.0253906	n/a	77325	2	condition 2
151.2304688	n/a	77430	22	condition 22
158.875	n/a	81344	2	condition 2
159.078125	n/a	81448	22	condition 22
166.0957031	n/a	85041	2	condition 2
166.2988281	n/a	85145	22	condition 22
175.5546875	n/a	89884	2	condition 2
175.7578125	n/a	89988	22	condition 22
185.4042969	n/a	94927	2	condition 2
185.6054688	n/a	95030	22	condition 22
193.4550781	n/a	99049	2	condition 2
193.6582031	n/a	99153	22	condition 22
201.3027344	n/a	103067	2	condition 2
201.5058594	n/a	103171	22	condition 22
210.7949219	n/a	107927	2	condition 2
210.9980469	n/a	108031	22	condition 22
218	n/a	111616	2	condition 2
218.203125	n/a	111720	22	condition 22
227.8320312	n/a	116650	2	condition 2
228.0351562	n/a	116754	22	condition 22
235.8828125	n/a	120772	2	condition 2
236.0878906	n/a	120877	22	condition 22
245.7304688	n/a	125814	2	condition 2
245.9335938	n/a	125918	22	condition 22
252.9355469	n/a	129503	2	condition 2
253.1386719	n/a	129607	22	condition 22
260.9707031	n/a	133617	2	condition 2
261.1738281	n/a	133721	22	condition 22
270.4453125	n/a	138468	2	condition 2
270.6484375	n/a	138572	22	condition 22
278.2929688	n/a	142486	2	condition 2
278.4980469	n/a	142591	22	condition 22
287.7714844	n/a	147339	2	condition 2
287.9726562	n/a	147442	22	condition 22
297.6171875	n/a	152380	2	condition 2
297.8222656	n/a	152485	22	condition 22
305.484375	n/a	156408	2	condition 2
305.6875	n/a	156512	22	condition 22
313.5351562	n/a	160530	2	condition 2
313.7402344	n/a	160635	22	condition 22
320.7382812	n/a	164218	2	condition 2
320.9453125	n/a	164324	22	condition 22
328.5703125	n/a	168228	2	condition 2
328.7734375	n/a	168332	22	condition 22
335.7753906	n/a	171917	2	condition 2
335.9785156	n/a	172021	22	condition 22
343.8105469	n/a	176031	2	condition 2
344.0117188	n/a	176134	22	condition 22
353.6582031	n/a	181073	2	condition 2
353.8613281	n/a	181177	22	condition 22
363.1328125	n/a	185924	2	condition 2
363.3398438	n/a	186030	22	condition 22
370.9824219	n/a	189943	2	condition 2
371.1855469	n/a	190047	22	condition 22
378.1855469	n/a	193631	2	condition 2
378.3886719	n/a	193735	22	condition 22
388.0175781	n/a	198665	2	condition 2
388.2226562	n/a	198770	22	condition 22
396.0683594	n/a	202787	2	condition 2
396.2714844	n/a	202891	22	condition 22
405.5449219	n/a	207639	2	condition 2
405.75	n/a	207744	22	condition 22
412.7480469	n/a	211327	2	condition 2
412.9511719	n/a	211431	22	condition 22
420.7832031	n/a	215441	2	condition 2
420.9863281	n/a	215545	22	condition 22
430.2597656	n/a	220293	2	condition 2
430.4628906	n/a	220397	22	condition 22
438.1074219	n/a	224311	2	condition 2
438.3105469	n/a	224415	22	condition 22
447.9550781	n/a	229353	2	condition 2
448.1582031	n/a	229457	22	condition 22
457.8046875	n/a	234396	2	condition 2
458.0078125	n/a	234500	22	condition 22
465.0078125	n/a	238084	2	condition 2
465.2109375	n/a	238188	22	condition 22
472.8398438	n/a	242094	2	condition 2
473.0449219	n/a	242199	22	condition 22
480.890625	n/a	246216	2	condition 2
481.0957031	n/a	246321	22	condition 22
490.3847656	n/a	251077	2	condition 2
490.5878906	n/a	251181	22	condition 22
497.5878906	n/a	254765	2	condition 2
497.7910156	n/a	254869	22	condition 22
505.4199219	n/a	258775	2	condition 2
505.6230469	n/a	258879	22	condition 22
515.2675781	n/a	263817	2	condition 2
515.4707031	n/a	263921	22	condition 22
523.3203125	n/a	267940	2	condition 2
523.5234375	n/a	268044	22	condition 22
532.8125	n/a	272800	2	condition 2
533.015625	n/a	272904	22	condition 22
542.2871094	n/a	277651	2	condition 2
542.4941406	n/a	277757	22	condition 22
550.3398438	n/a	281774	2	condition 2
550.5429688	n/a	281878	22	condition 22
558.1875	n/a	285792	2	condition 2
558.390625	n/a	285896	22	condition 22
565.3769531	n/a	289473	2	condition 2
565.578125	n/a	289576	22	condition 22
575.2226562	n/a	294514	2	condition 2
575.4257812	n/a	294618	22	condition 22
583.2753906	n/a	298637	2	condition 2
583.4785156	n/a	298741	22	condition 22
590.4785156	n/a	302325	2	condition 2
590.6816406	n/a	302429	22	condition 22
600.3105469	n/a	307359	2	condition 2
600.515625	n/a	307464	22	condition 22
609.7890625	n/a	312212	2	condition 2
609.9902344	n/a	312315	22	condition 22
617.6347656	n/a	316229	2	condition 2
617.8378906	n/a	316333	22	condition 22
624.8378906	n/a	319917	2	condition 2
625.0429688	n/a	320022	22	condition 22
632.9082031	n/a	324049	2	condition 2
633.1113281	n/a	324153	22	condition 22
640.7558594	n/a	328067	2	condition 2
640.9609375	n/a	328172	22	condition 22
650.2324219	n/a	332919	2	condition 2
650.4335938	n/a	333022	22	condition 22
660.0800781	n/a	337961	2	condition 2
660.2832031	n/a	338065	22	condition 22
662.5742188	n/a	339238	13	condition 13
684.6640625	n/a	350548	2	condition 2
684.8671875	n/a	350652	22	condition 22
692.5117188	n/a	354566	2	condition 2
692.7148438	n/a	354670	22	condition 22
700.5644531	n/a	358689	2	condition 2
700.7675781	n/a	358793	22	condition 22
710.4121094	n/a	363731	2	condition 2
710.6152344	n/a	363835	22	condition 22
718.4648438	n/a	367854	2	condition 2
718.6679688	n/a	367958	22	condition 22
727.9394531	n/a	372705	2	condition 2
728.1425781	n/a	372809	22	condition 22
735.7910156	n/a	376725	2	condition 2
735.9921875	n/a	376828	22	condition 22
745.6367188	n/a	381766	2	condition 2
745.8398438	n/a	381870	22	condition 22
752.8398438	n/a	385454	2	condition 2
753.0449219	n/a	385559	22	condition 22
762.671875	n/a	390488	2	condition 2
762.8769531	n/a	390593	22	condition 22
764.1640625	n/a	391252	23	condition 23
770.7246094	n/a	394611	2	condition 2
770.9277344	n/a	394715	22	condition 22
780.1992188	n/a	399462	2	condition 2
780.4042969	n/a	399567	22	condition 22
788.046875	n/a	403480	2	condition 2
788.2519531	n/a	403585	22	condition 22
795.2519531	n/a	407169	2	condition 2
795.4550781	n/a	407273	22	condition 22
803.0859375	n/a	411180	2	condition 2
803.2871094	n/a	411283	22	condition 22
812.5605469	n/a	416031	2	condition 2
812.7617188	n/a	416134	22	condition 22
819.7480469	n/a	419711	2	condition 2
819.9492188	n/a	419814	22	condition 22
829.59375	n/a	424752	2	condition 2
829.7988281	n/a	424857	22	condition 22
837.6464844	n/a	428875	2	condition 2
837.8496094	n/a	428979	22	condition 22
844.8496094	n/a	432563	2	condition 2
845.0527344	n/a	432667	22	condition 22
852.8886719	n/a	436679	2	condition 2
853.0878906	n/a	436781	22	condition 22
862.734375	n/a	441720	2	condition 2
862.9375	n/a	441824	22	condition 22
870.5820312	n/a	445738	2	condition 2
870.7851562	n/a	445842	22	condition 22
880.0566406	n/a	450589	2	condition 2
880.2617188	n/a	450694	22	condition 22
889.90625	n/a	455632	2	condition 2
890.1113281	n/a	455737	22	condition 22
899.3828125	n/a	460484	2	condition 2
899.5859375	n/a	460588	22	condition 22
907.4335938	n/a	464606	2	condition 2
907.6367188	n/a	464710	22	condition 22
914.6367188	n/a	468294	2	condition 2
914.8398438	n/a	468398	22	condition 22
922.46875	n/a	472304	2	condition 2
922.671875	n/a	472408	22	condition 22
932.3164062	n/a	477346	2	condition 2
932.5234375	n/a	477452	22	condition 22
941.7929688	n/a	482198	2	condition 2
941.9980469	n/a	482303	22	condition 22
949.84375	n/a	486320	2	condition 2
950.046875	n/a	486424	22	condition 22
957.6933594	n/a	490339	2	condition 2
957.8964844	n/a	490443	22	condition 22
964.8964844	n/a	494027	2	condition 2
965.0996094	n/a	494131	22	condition 22
974.7285156	n/a	499061	2	condition 2
974.9316406	n/a	499165	22	condition 22
982.5761719	n/a	503079	2	condition 2
982.7792969	n/a	503183	22	condition 22
992.0527344	n/a	507931	2	condition 2
992.2558594	n/a	508035	22	condition 22
1000.103516	n/a	512053	2	condition 2
1000.306641	n/a	512157	22	condition 22
1007.308594	n/a	515742	2	condition 2
1007.511719	n/a	515846	22	condition 22
1014.478516	n/a	519413	2	condition 2
1014.681641	n/a	519517	22	condition 22
1024.326172	n/a	524455	2	condition 2
1024.529297	n/a	524559	22	condition 22
1032.175781	n/a	528474	2	condition 2
1032.378906	n/a	528578	22	condition 22
1041.650391	n/a	533325	2	condition 2
1041.853516	n/a	533429	22	condition 22
1049.703125	n/a	537448	2	condition 2
1049.90625	n/a	537552	22	condition 22
1059.177734	n/a	542299	2	condition 2
1059.380859	n/a	542403	22	condition 22
1067.025391	n/a	546317	2	condition 2
1067.232422	n/a	546423	22	condition 22
1074.230469	n/a	550006	2	condition 2
1074.435547	n/a	550111	22	condition 22
1084.0625	n/a	555040	2	condition 2
1084.265625	n/a	555144	22	condition 22
1085.552734	n/a	555803	23	condition 23
1092.115234	n/a	559163	2	condition 2
1092.316406	n/a	559266	22	condition 22
1101.589844	n/a	564014	2	condition 2
1101.792969	n/a	564118	22	condition 22
1108.792969	n/a	567702	2	condition 2
1108.996094	n/a	567806	22	condition 22
1116.830078	n/a	571817	2	condition 2
1117.033203	n/a	571921	22	condition 22
1126.675781	n/a	576858	2	condition 2
1126.878906	n/a	576962	22	condition 22
1134.527344	n/a	580878	2	condition 2
1134.728516	n/a	580981	22	condition 22
1144	n/a	585728	2	condition 2
1144.203125	n/a	585832	22	condition 22
1152.054688	n/a	589852	2	condition 2
1152.255859	n/a	589955	22	condition 22
1159.900391	n/a	593869	2	condition 2
1160.103516	n/a	593973	22	condition 22
1169.75	n/a	598912	2	condition 2
1169.951172	n/a	599015	22	condition 22
1176.9375	n/a	602592	2	condition 2
1177.138672	n/a	602695	22	condition 22
1184.142578	n/a	606281	2	condition 2
1184.34375	n/a	606384	22	condition 22
1191.970703	n/a	610289	2	condition 2
1192.175781	n/a	610394	22	condition 22
1200.039062	n/a	614420	2	condition 2
1200.244141	n/a	614525	22	condition 22
1201.53125	n/a	615184	23	condition 23
1209.515625	n/a	619272	2	condition 2
1209.71875	n/a	619376	22	condition 22
1219.365234	n/a	624315	2	condition 2
1219.568359	n/a	624419	22	condition 22
1229.212891	n/a	629357	2	condition 2
1229.416016	n/a	629461	22	condition 22
1237.0625	n/a	633376	2	condition 2
1237.263672	n/a	633479	22	condition 22
1246.537109	n/a	638227	2	condition 2
1246.740234	n/a	638331	22	condition 22
1253.740234	n/a	641915	2	condition 2
1253.943359	n/a	642019	22	condition 22
1261.775391	n/a	646029	2	condition 2
1261.978516	n/a	646133	22	condition 22
1271.251953	n/a	650881	2	condition 2
1271.455078	n/a	650985	22	condition 22
1278.441406	n/a	654562	2	condition 2
1278.640625	n/a	654664	22	condition 22
1286.490234	n/a	658683	2	condition 2
1286.695312	n/a	658788	22	condition 22
1294.337891	n/a	662701	2	condition 2
1294.541016	n/a	662805	22	condition 22
1304.1875	n/a	667744	2	condition 2
1304.390625	n/a	667848	22	condition 22
1311.390625	n/a	671432	2	condition 2
1311.595703	n/a	671537	22	condition 22
1319.425781	n/a	675546	2	condition 2
1319.628906	n/a	675650	22	condition 22
1329.275391	n/a	680589	2	condition 2
1329.476562	n/a	680692	22	condition 22
1338.75	n/a	685440	2	condition 2
1338.953125	n/a	685544	22	condition 22
1346.597656	n/a	689458	2	condition 2
1346.802734	n/a	689563	22	condition 22
1353.802734	n/a	693147	2	condition 2
1354.007812	n/a	693252	22	condition 22
1361.835938	n/a	697260	2	condition 2
1362.041016	n/a	697365	22	condition 22
1369.685547	n/a	701279	2	condition 2
1369.888672	n/a	701383	22	condition 22
1379.160156	n/a	706130	2	condition 2
1379.363281	n/a	706234	22	condition 22
1389.009766	n/a	711173	2	condition 2
1389.214844	n/a	711278	22	condition 22
1396.212891	n/a	714861	2	condition 2
1396.419922	n/a	714967	22	condition 22
1406.044922	n/a	719895	2	condition 2
1406.248047	n/a	719999	22	condition 22
1413.892578	n/a	723913	2	condition 2
1414.097656	n/a	724018	22	condition 22
1421.945312	n/a	728036	2	condition 2
1422.148438	n/a	728140	22	condition 22
1431.419922	n/a	732887	2	condition 2
1431.626953	n/a	732993	22	condition 22
1438.625	n/a	736576	2	condition 2
1438.828125	n/a	736680	22	condition 22
1448.457031	n/a	741610	2	condition 2
1448.660156	n/a	741714	22	condition 22
1457.931641	n/a	746461	2	condition 2
1458.134766	n/a	746565	22	condition 22
1465.783203	n/a	750481	2	condition 2
1465.984375	n/a	750584	22	condition 22
1473.832031	n/a	754602	2	condition 2
1474.037109	n/a	754707	22	condition 22
1483.679688	n/a	759644	2	condition 2
1483.882812	n/a	759748	22	condition 22
1490.884766	n/a	763333	2	condition 2
1491.087891	n/a	763437	22	condition 22
1498.714844	n/a	767342	2	condition 2
1498.921875	n/a	767448	22	condition 22
1506.767578	n/a	771465	2	condition 2
1506.970703	n/a	771569	22	condition 22
1516.242188	n/a	776316	2	condition 2
1516.445312	n/a	776420	22	condition 22
1518.736328	n/a	777593	9	condition 9
1540.53125	n/a	788752	4	condition 4
1545.892578	n/a	791497	2	condition 2
1546.09375	n/a	791600	22	condition 22
1555.738281	n/a	796538	2	condition 2
1555.941406	n/a	796642	22	condition 22
1565.214844	n/a	801390	2	condition 2
1565.417969	n/a	801494	22	condition 22
1572.417969	n/a	805078	2	condition 2
1572.621094	n/a	805182	22	condition 22
1581.876953	n/a	809921	2	condition 2
1582.082031	n/a	810026	22	condition 22
1589.927734	n/a	814043	2	condition 2
1590.132812	n/a	814148	22	condition 22
1599.779297	n/a	819087	2	condition 2
1599.980469	n/a	819190	22	condition 22
1607.625	n/a	823104	2	condition 2
1607.828125	n/a	823208	22	condition 22
